event_name,qmeter_name,start_line,end_line,direction,start_polarization,end_polarization,swing,max_polarization,monotonicity_fraction,accepted
2004-04-10_08h25m37s,Top Proton,811,923,-1,-8.366764,-91.27025,-82.903486,-91.27025,0.9821428571428571,N
2004-04-10_08h25m37s,Top Proton,923,1555,1,-91.27025,30.77912,122.04937000000001,-91.27025,0.5813953488372093,N
2004-04-10_08h25m37s,Top Proton,1556,1777,1,1.832573,68.82918,66.996607,69.00216,0.751131221719457,N
2004-04-16_10h35m39s,Top Proton,3200,3252,-1,-0.1034412,-23.58321,-23.479768800000002,-23.58321,0.7307692307692307,N
2004-04-16_10h35m39s,Top Proton,3252,3305,1,-23.58321,27.40783,50.99104,30.67223,0.6415094339622641,N
2004-04-17_12h48m05s,Top Proton,163,505,1,-6.954325,9.50146,16.455785,10.17115,0.5730994152046783,N
2004-05-14_16h46m24s,Top Proton,4241,4386,-1,8.657696,-9.690438,-18.348134,-9.690438,0.7379310344827587,N
2004-08-03_10h29m47s,Top Proton,2023,3712,1,-3.51547,18.49203,22.0075,18.49203,0.8186274509803921,N
2004-08-03_10h29m47s,Top Proton,3712,4546,-1,18.49203,-14.9993,-33.49133,18.49203,0.7817938420348058,N
2004-08-03_10h29m47s,Top Proton,4546,4862,1,-14.9993,15.67255,30.67185,15.67255,0.9,N
2004-08-03_10h29m47s,Top Proton,4862,6006,-1,15.67255,0.4464874,-15.226062599999999,15.67255,0.9285714285714286,N
2004-08-03_10h29m47s,Top Proton,6006,7021,1,0.4464874,26.29166,25.8451726,26.29166,0.7438180019782393,N
2004-08-03_10h29m47s,Top Proton,7021,7913,-1,26.29166,-19.42482,-45.716480000000004,26.29166,0.8907168037602821,N
2004-08-03_10h29m47s,Top Proton,7913,8783,1,-19.42482,-1.380431,18.044389,-19.42482,1.0,N
2004-08-03_10h29m47s,Top Proton,8783,9933,-1,-1.380431,-22.97978,-21.599349,-22.97978,0.720558882235529,N
2004-08-03_10h29m47s,Top Proton,9933,11610,1,-22.97978,67.2085,90.18828,67.2085,0.8983050847457628,N
2004-08-03_10h29m47s,Top Proton,11680,11776,1,58.73546,71.0971,12.361639999999994,71.0971,0.8229166666666666,N
2004-08-03_10h29m47s,Top Proton,11776,12071,-1,71.0971,-81.95029,-153.04739,-81.95029,0.823728813559322,N
2004-08-03_10h29m47s,Top Proton,12071,13122,1,-81.95029,0.04381812,81.99410811999999,-81.95029,0.6363636363636364,N
2004-08-04_17h14m18s,Top Proton,40,72,1,0.8067933,21.22929,20.4224967,21.22929,0.9375,N
2004-08-04_17h14m18s,Top Proton,72,1109,-1,21.22929,-18.0708,-39.30009,21.22929,0.9130434782608695,N
2004-08-04_17h14m18s,Top Proton,1109,1186,1,-18.0708,24.04083,42.11163,24.04083,0.9508196721311475,N
